id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,google_product_category
7E9084050BD5E,Kurtka męska VW T1 softshell - M,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin",in stock,New,319.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208476.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965163_9862ea7bf099702436a7b54371b9e572.jpeg,VW,"https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965163_0d533100786259e580ef60bb3933d589.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965163_286b65a8cbe64bbd47f54ac2f6d51baa.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965163_1576d6749a13ce6d752a6cc4c03526de.jpeg",
7E9084050AD5E,Kurtka męska VW T1 softshell - S,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin",in stock,New,319.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208475.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957878_ce67168002c4f259f42826e5e57f7e9c.jpeg,VW,"https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957882_fef07dc9eaa7a1a0c4996e0d1611350c.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624958600_a7d967128f39d77d76985ca14e515f8b.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624958606_1eabf8d350747c2f7a6fd6347f0223d8.jpeg",
7E9084200ED5E,"T-shirt męski VW T2, niebieski - 2XL","Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208484.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965104_fae1d5b75540593312c4575d053c8f62.jpeg,VW,,
7E9084200DD5E,"T-shirt męski VW T2, niebieski - XL","Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208483.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965090_1299d36e334c20a692b4bf1c31ff03f7.jpeg,VW,,
7E9084200CD5E,"T-shirt męski VW T2, niebieski - L","Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208482.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965077_7307e498baad60dca220e487f13c40e6.jpeg,VW,,
7E9084200BD5E,"T-shirt męski VW T2, niebieski - M","Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208481.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965055_2a37f2a8cb602282fe34efed4f1d0878.jpeg,VW,,
7E9084200AD5E,"T-shirt męski VW T2, niebieski - S","Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208480.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624958864_2efe34a5cc1ce04aef7ed1a85b80ffab.jpeg,VW,,
7E9084200EWN3,"T-shirt męski VW T1, oliwkowy - 2XL","Męski t-shirt z krótkim rękawem w kolorze oliwkowym, z kolekcjiHeritage. Z przodu duży nadruk motywu T1. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t144-oliwkowy,208489.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965017_70ad1525f5362836ab228e0531cfee7b.jpeg,VW,,
7E9084200DWN3,"T-shirt męski VW T1, oliwkowy - XL","Męski t-shirt z krótkim rękawem w kolorze oliwkowym, z kolekcjiHeritage. Z przodu duży nadruk motywu T1. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t144-oliwkowy,208488.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624964998_80c3340ee59a8f061710ad3bdc0d9b8f.jpeg,VW,,
7E9084200CWN3,"T-shirt męski VW T1, oliwkowy - L","Męski t-shirt z krótkim rękawem w kolorze oliwkowym, z kolekcjiHeritage. Z przodu duży nadruk motywu T1. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,129.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t144-oliwkowy,208487.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624964982_1fae09e4b50f88a385b365159eb7e0c5.jpeg,VW,,
