id,title,link,price,shipping,image_link,availability,brand,condition,google_product_category,custom_label_0,custom_label_1,ads_label,description
7E9084210645,"T-shirt damski VW T1, bordowy","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-damski-vw-t144-bordowy,208522.html",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1638442461_a10ee824544ee197c4c521cddbfb1a1e.jpeg,out of stock,VW,New,,,out_of_stock,,"Damski t-shirt z krótkim rękawem w kolorze bordowym, z kolekcjiHeritage. Z przodu duży nadruk motywu T1. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w95% z bawełny organicznej i 5% elastanu.|T-shirt dostępnyw rozmiarach: XS – XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084152A645,Bluzka dla dzieci VW T1,"https://vwdostawcze-sklep.pl/katalog/1/bluzka-dla-dzieci-vw-t1,208448.html",119.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1627622590_74064e7b224840fcdac2ea7628918e12.jpeg,in stock,VW,New,,,in_stock,,"Bordowa bluzka dziecięca Henley z kolekcjiHeritage, zdługim rękawem i plisą na guziki. Zapinana na 3 guziki, z dużym nadrukiem T1 w kolorze ciemnoczerwonym z przodu i nadrukiemVolkswagena na karku. Bluzka wykonana z przyjemnej w dotyku bawełny organicznej.|Uwaga:|prać w 30°C|nie chlorować|nie suszyć w suszarce bębnowej|prać i prasować na lewej stronie, z podobnymi kolorami|nie prać chemicznie|nie wybielać"
7E9084200AWN3,"T-shirt męski VW T1, oliwkowy","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t144-oliwkowy,208485.html",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624959589_1e3c886cd5957abfffa322904725570c.jpeg,in stock,VW,New,,,in_stock,,"Męski t-shirt z krótkim rękawem w kolorze oliwkowym, z kolekcjiHeritage. Z przodu duży nadruk motywu T1. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084200AD5E,"T-shirt męski VW T2, niebieski","https://vwdostawcze-sklep.pl/katalog/1/t-shirt-meski-vw-t244-niebieski,208480.html",129.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624958864_2efe34a5cc1ce04aef7ed1a85b80ffab.jpeg,in stock,VW,New,,,in_stock,,"Męski t-shirt z krótkim rękawemw kolorze niebieskim, z kolekcjiHeritage. Z przodu duży nadruk motywu T2 przed ogniskiem. Na karku kolorowa tasiemka, z brzegu prawego rękawa ozdobna metka pętelkowa. Wykonany w100% z bawełny organicznej.|T-shirt dostępnyw rozmiarach: S – 2XL|Uwaga:|prać w 30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084050AD5E,Kurtka męska VW T1 softshell,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208475.html",319.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957878_ce67168002c4f259f42826e5e57f7e9c.jpeg,in stock,VW,New,,,in_stock,,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin"
7E9084132AWN3,"Bluza męska VW T1, dł. rękaw","https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208470.html",169.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957219_3fd94e910479dc9c86f41816602c3063.jpeg,in stock,VW,New,,,in_stock,,"Męska bluza z długim rękawem w kolorzeoliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać"
7E9084331A645,"Szalik/apaszka T1, kolekcja Heritage","https://vwdostawcze-sklep.pl/katalog/1/szalik47apaszka-t144-kolekcja-heritage,208457.html",59.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624622535_708d6c213b3509f284208cf443ae64ea.jpeg,in stock,VW,New,,,in_stock,,"Bordowy szalik/apaszka z dużym motywem T1 ""Time to get out"" w kolorze białym. Wykonany w 100% z bawełny organicznej.|Wymiary:|Długość: 50cm|Szerokość: 50 cm|Uwaga:|prać w30°C|prać z podobnymi kolorami|nie chlorować|nie wybielać|prasować w średniej temperaturze|można suszyć w suszarce"
7E9084300A,"Czapka VW, kolekcja Heritage","https://vwdostawcze-sklep.pl/katalog/1/czapka-vw44-kolekcja-heritage,208464.html",79.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624867399_8ae65d0324561dfdbdbf6c889e6a1bdc.jpeg,in stock,VW,New,,,in_stock,,"Bawełniana czapka bejsbolówka w kolorze oliwkowowym ze szczotkowanego materiału, z kolekcjiHeritage. Spód daszka w kolorze niebieskim, wnętrze w kontrastowym kolorze.Z przodu wyhaftowana róża wiatrów, z tyłu wyhaftowany historyczny napis ""Volkswagen"".|Płeć: Unisex|Uwaga:|prać ręcznie|nie chlorować|nie suszyć w suszarce|nie prasować|nie prać chemicznie"
7E0084300B,"Czapka z daszkiem VW T1, żółta","https://vwdostawcze-sklep.pl/katalog/1/czapka-z-daszkiem-t1-zolta,208064.html",75.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/2010982-69czapkazolta.png,in stock,VW,New,,,in_stock,,"Sportowa czapka w kolorze żółtym z motywem legendarnego modelu T1 Bulli. Rozmiar może być dowolnie regulowany dzięki paskowi z tyłu czapki i klipowi z motywem VW. Wygodę i przewiewność zapewniają czapce kontrastująca, bawełniana podszewka, wewnętrzna opaska i 4 otwory wentylacyjne."
7E9069644,"Podstawka do jajek VW T1, niebieska","https://vwdostawcze-sklep.pl/katalog/1/podstawka-do-jajek-vw-t144-niebieska,208558.html",99.00 PLN,PL:::15.00 PLN,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1649918475_69865770e6da9c59af57711ff6237eab.jpeg,in stock,VW,New,,,in_stock,,"Ceramiczna podstawkana jajka w kształcie VW T1, malowana w styluhipisowskim. Bagażnik dachowypełni funkcję solniczki.|Wymiary: dł. 13 cm x wys. 6,5 cm"
